k_1: 20, k_2: 50, k_3: 50, e: 0.00050, score: 0.01028428 
k_1: 20, k_2: 50, k_3: 50, e: 0.00100, score: 0.00963768 
k_1: 20, k_2: 50, k_3: 50, e: 0.00500, score: 0.39174470 
k_1: 20, k_2: 50, k_3: 50, e: 0.01000, score: 0.39917503 
k_1: 20, k_2: 50, k_3: 75, e: 0.00050, score: 0.01035117 
k_1: 20, k_2: 50, k_3: 75, e: 0.00100, score: 0.00978261 
k_1: 20, k_2: 50, k_3: 75, e: 0.00500, score: 0.01055741 
k_1: 20, k_2: 50, k_3: 75, e: 0.01000, score: 0.01370680 
k_1: 20, k_2: 50, k_3: 100, e: 0.00050, score: 0.01011148 
k_1: 20, k_2: 50, k_3: 100, e: 0.00100, score: 0.00992754 
k_1: 20, k_2: 50, k_3: 100, e: 0.00500, score: 0.01020624 
k_1: 20, k_2: 50, k_3: 100, e: 0.01000, score: 0.01261984 
k_1: 20, k_2: 75, k_3: 10, e: 0.00050, score: 0.59692865 
k_1: 20, k_2: 75, k_3: 10, e: 0.00100, score: 0.59278707 
k_1: 20, k_2: 75, k_3: 10, e: 0.00500, score: 0.58841695 
k_1: 20, k_2: 75, k_3: 10, e: 0.01000, score: 0.61660535 
k_1: 20, k_2: 75, k_3: 20, e: 0.00050, score: 0.01131550 
k_1: 20, k_2: 75, k_3: 20, e: 0.00100, score: 0.30070792 
k_1: 20, k_2: 75, k_3: 20, e: 0.00500, score: 0.01282609 
k_1: 20, k_2: 75, k_3: 20, e: 0.01000, score: 0.01479376 
k_1: 20, k_2: 75, k_3: 30, e: 0.00050, score: 0.01114270 
k_1: 20, k_2: 75, k_3: 30, e: 0.00100, score: 0.01029543 
k_1: 20, k_2: 75, k_3: 30, e: 0.00500, score: 0.43419175 
k_1: 20, k_2: 75, k_3: 30, e: 0.01000, score: 0.39388517 
k_1: 20, k_2: 75, k_3: 40, e: 0.00050, score: 0.01076923 
k_1: 20, k_2: 75, k_3: 40, e: 0.00100, score: 0.01056856 
k_1: 20, k_2: 75, k_3: 40, e: 0.00500, score: 0.01047380 
k_1: 20, k_2: 75, k_3: 40, e: 0.01000, score: 0.01182832 
k_1: 20, k_2: 75, k_3: 50, e: 0.00050, score: 0.00991081 
k_1: 20, k_2: 75, k_3: 50, e: 0.00100, score: 0.00967670 
k_1: 20, k_2: 75, k_3: 50, e: 0.00500, score: 0.39181717 
k_1: 20, k_2: 75, k_3: 50, e: 0.01000, score: 0.39576923 
k_1: 20, k_2: 75, k_3: 75, e: 0.00050, score: 0.01027313 
k_1: 20, k_2: 75, k_3: 75, e: 0.00100, score: 0.00978818 
